Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
14-NOV-2025,58050,58590.15,58050,58517.55,114807987,7021.35
13-NOV-2025,58158.75,58615.95,58127.1,58381.95,121244767,7470.55
12-NOV-2025,58505.35,58507.7,58171.85,58274.65,149265514,7073.06
11-NOV-2025,57962.3,58187.35,57594.25,58138.15,119589571,5909.76
10-NOV-2025,57846.2,58097.2,57846.2,57937.55,123385793,5940.6
07-NOV-2025,57391.4,58001.35,57157.85,57876.8,142423718,6208.77
06-NOV-2025,57714.8,57945.05,57521,57554.25,170428684,10257.32
04-NOV-2025,57966.65,58119.65,57732.95,57827.05,168559617,8624.42
03-NOV-2025,57726.85,58247.55,57718.4,58101.45,204665357,8247.6
31-OCT-2025,57942.45,58254.95,57656.95,57776.35,307922255,10392.19
30-OCT-2025,58152.05,58331.2,57999.2,58031.1,222993699,8385.96
29-OCT-2025,58316.25,58469.9,58087.05,58385.25,151847243,7845.76
28-OCT-2025,58006.55,58313.8,57770.35,58214.1,256079447,14036.42
27-OCT-2025,57796.45,58224.55,57652.75,58114.25,153027019,7555.3
24-OCT-2025,58172.75,58232.9,57482.05,57699.6,132081008,6654.57
23-OCT-2025,58314.55,58577.5,57951.45,58078.05,291556210,14314.53
21-OCT-2025,58063.4,58155.55,57887.2,58007.2,38968242,1679.12
20-OCT-2025,57872.85,58261.55,57872.85,58033.2,341715407,14041.65
17-OCT-2025,57362.9,57830.2,57238.65,57713.35,147161418,8960.74
16-OCT-2025,57139.95,57525.8,56994.7,57422.55,148601313,9667.33
