Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
07-NOV-2025,21866.5,22055.2,21681.15,22026.4,1785376142,26566.11
06-NOV-2025,22152.9,22166.7,21897.4,21923.1,1333127168,21064.6
04-NOV-2025,22247.05,22255.8,22108.65,22135.95,1998544211,24493.37
03-NOV-2025,22073.1,22251.15,22051.85,22216.1,3112006604,22480.84
31-OCT-2025,22182.2,22238.15,22029.8,22045.95,1768546204,24202.33
30-OCT-2025,22237.15,22237.7,22071.15,22154.45,3115217256,23718.06
29-OCT-2025,22090.1,22212.25,22032.3,22190.5,1619573709,23429.85
28-OCT-2025,22103.55,22126.4,21982.85,22063,2280744810,24361.51
27-OCT-2025,21960.8,22073.4,21930.3,22064.65,3759150148,23217.97
24-OCT-2025,21984.9,22040,21830.95,21890.9,1393793825,17611.93
23-OCT-2025,22064.55,22100.65,21907.35,21940.05,2028210552,23605.79
21-OCT-2025,22015.85,22039.45,21943.35,21972.05,331487505,3689.18
20-OCT-2025,21877.1,21969.65,21852.5,21924.85,1262078099,20298.78
17-OCT-2025,21916.15,21918.45,21723.7,21782.8,1221355539,21594.39
16-OCT-2025,21861.1,21930.2,21806,21900.9,1107559788,22190.23
15-OCT-2025,21649.3,21826.5,21631.05,21796.5,1368159352,23118.65
14-OCT-2025,21813.4,21842.3,21564.1,21595.95,1408972111,20326.62
13-OCT-2025,21676.6,21761.2,21608.05,21746.75,1719689494,20190.11
10-OCT-2025,21681.9,21790.6,21637.1,21743.95,1720349466,22937.32
