Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
14-NOV-2025,17025.2,17108.7,17016.95,17081.45,1487853893,21190.08
13-NOV-2025,17153.25,17180.15,17031.85,17051.05,493014569,17905.78
12-NOV-2025,17060.55,17137.7,17045.9,17120.15,572779036,20603.28
11-NOV-2025,17042.5,17052,16932.35,16994,585256368,23634.11
10-NOV-2025,17043.1,17064.3,16976.3,17019.3,529416098,20284.69
07-NOV-2025,16988.25,17062.25,16825.05,17020.05,557054032,23251.09
06-NOV-2025,17335.5,17342.5,17034.65,17061.5,701920078,23247.05
04-NOV-2025,17463.75,17466.15,17302.55,17320.2,585258662,18914.9
03-NOV-2025,17335.15,17460.75,17333.85,17434.85,561841642,19167.24
31-OCT-2025,17445.05,17483.15,17297.35,17313.9,774167550,26150.08
30-OCT-2025,17444.9,17447.55,17359.25,17411.55,1043360117,24123.98
29-OCT-2025,17363.35,17433.95,17294.45,17423.6,660217773,23032.88
28-OCT-2025,17362.8,17407.1,17297.4,17346.4,468672226,19197.47
27-OCT-2025,17267.4,17339.05,17228.7,17330.15,463537358,18716.35
24-OCT-2025,17270.95,17285.2,17172.3,17219,492828652,16515.29
23-OCT-2025,17345.45,17354.5,17227.75,17245.55,617362040,17077.17
21-OCT-2025,17249.2,17315.35,17247.6,17286.7,122170407,4015.18
20-OCT-2025,17135.55,17177,17054.1,17167.4,522300747,19457.19
17-OCT-2025,17123.2,17165.05,17036.35,17076.55,438371627,18507.94
16-OCT-2025,17105.6,17162.2,17089.15,17117.2,491207339,17144.85
